@relation energy

@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute out real

@data
	
0.4646382776634478,0.4628652841538705,0.4834573373436758,0.4739211651100206,0.4487636536330536,0.4626943169225898
0.4628652841538705,0.4834573373436758,0.4739211651100206,0.4487636536330536,0.4626943169225898,0.46312490106063
0.4834573373436758,0.4739211651100206,0.4487636536330536,0.4626943169225898,0.46312490106063,0.4666645559601076
0.4739211651100206,0.4487636536330536,0.4626943169225898,0.46312490106063,0.4666645559601076,0.4758461294918474
0.4487636536330536,0.4626943169225898,0.46312490106063,0.4666645559601076,0.4758461294918474,0.4573373436757955
0.4626943169225898,0.46312490106063,0.4666645559601076,0.4758461294918474,0.4573373436757955,0.4723191388317239
0.46312490106063,0.4666645559601076,0.4758461294918474,0.4573373436757955,0.4723191388317239,0.4608200094981795
0.4666645559601076,0.4758461294918474,0.4573373436757955,0.4723191388317239,0.4608200094981795,0.4610986227639702
0.4758461294918474,0.4573373436757955,0.4723191388317239,0.4608200094981795,0.4610986227639702,0.4588633845179674
0.4573373436757955,0.4723191388317239,0.4608200094981795,0.4610986227639702,0.4588633845179674,0.4739718220674371
0.4723191388317239,0.4608200094981795,0.4610986227639702,0.4588633845179674,0.4739718220674371,0.4790121893303784
0.4608200094981795,0.4610986227639702,0.4588633845179674,0.4739718220674371,0.4790121893303784,0.4547601709672313
0.4610986227639702,0.4588633845179674,0.4739718220674371,0.4790121893303784,0.4547601709672313,0.4542472692733893
0.4588633845179674,0.4739718220674371,0.4790121893303784,0.4547601709672313,0.4542472692733893,0.4748646509419028
0.4739718220674371,0.4790121893303784,0.4547601709672313,0.4542472692733893,0.4748646509419028,0.4702105429792623
0.4790121893303784,0.4547601709672313,0.4542472692733893,0.4748646509419028,0.4702105429792623,0.4639734050973564
0.4547601709672313,0.4542472692733893,0.4748646509419028,0.4702105429792623,0.4639734050973564,0.4722874782333386
0.4542472692733893,0.4748646509419028,0.4702105429792623,0.4639734050973564,0.4722874782333386,0.4661073294285262
0.4748646509419028,0.4702105429792623,0.4639734050973564,0.4722874782333386,0.4661073294285262,0.4618204844071553
0.4702105429792623,0.4639734050973564,0.4722874782333386,0.4661073294285262,0.4618204844071553,0.4703625138515118
